run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
2533,4,-1.3653477,1.8218267,.16452953,1,0,1,7,0
6209,4,-1.0487216,1.0513917,.15328731,1,0,1,7,0
6531,4,-1.9849417,2.4005687,.27409196,1,0,1,7,0
97,4,-1.0064728,1.1686631,.18725894,1,0,1,7,0
8485,4,-1.7328969,2.1944525,.25786638,1,0,1,7,0
3348,4,-.41684815,-.36568594,.066932969,1,0,1,7,0
4584,4,.11084318,-.52746814,-.0086839143,1,0,1,7,0
1445,4,-1.044579,.84907943,.20028436,1,0,1,7,0
824,4,-2.2450314,1.9473865,.3894594,1,0,1,7,0
6385,4,-2.1393268,2.7278156,.28163412,1,0,1,7,0
3332,4,-.40944961,.22942016,.037990049,1,0,1,7,0
7147,4,-3.3174143,3.2340705,.51740891,1,0,1,7,0
5704,4,-1.5907892,1.8070762,.24410193,1,0,1,7,0
2666,4,-3.4169791,4.0355368,.50806993,1,0,1,7,0
5035,4,-.15251997,-.48930541,.048183348,1,0,1,7,0
5094,4,-1.39547,.41829252,.22860552,1,0,1,7,0
7517,4,.34932572,-.92612523,-.051769745,1,0,1,7,0
246,4,-2.3411994,2.2671716,.38220552,1,0,1,7,0
9525,4,.19290526,-.2900044,-.10165798,1,0,1,7,0
4695,4,-1.3631241,1.1731315,.20335343,1,0,1,7,0
664,4,-2.3146574,3.0073404,.3020654,1,0,1,7,0
4377,4,-.80473739,.39900106,.071145944,1,0,1,7,0
3440,4,-1.9508294,2.2434978,.24353191,1,0,1,7,0
8467,4,-2.7037923,2.209779,.45975369,1,0,1,7,0
5399,4,-1.353793,1.8046974,.18898375,1,0,1,7,0
3019,4,.18832661,-.21736263,-.090426996,1,0,1,7,0
5894,4,-1.6212382,1.7304925,.21979572,1,0,1,7,0
2067,4,1.0249826,-2.4941547,-.20366029,1,0,1,7,0
3008,4,-.1947819,-.31449613,.002187235,1,0,1,7,0
9452,4,-4.2825418,5.3786311,.59643102,1,0,1,7,0
7488,4,-3.626929,3.8275137,.569543,1,0,1,7,0
5987,4,-1.3198164,1.8374913,.14529109,1,0,1,7,0
5506,4,-2.363312,2.4085155,.39523143,1,0,1,7,0
2046,4,-.76923299,.69719261,.034843523,1,0,1,7,0
6481,4,-1.6589839,1.5164648,.22183713,1,0,1,7,0
3810,4,-.99119246,.3605009,.16124877,1,0,1,7,0
6265,4,-1.9543012,1.4855207,.32516196,1,0,1,7,0
366,4,-1.3674247,.33466941,.28679007,1,0,1,7,0
8477,4,-2.8715963,2.8405967,.44630465,1,0,1,7,0
1077,4,-1.0560315,1.3669232,.14005618,1,0,1,7,0
1317,4,.041410558,-.075737037,-.049936276,1,0,1,7,0
3508,4,-.61935061,.79564881,.075136624,1,0,1,7,0
4954,4,-2.6176455,2.6159675,.38764545,1,0,1,7,0
4090,4,-1.5703875,1.1589875,.28900975,1,0,1,7,0
7771,4,-2.882844,2.5746014,.52029634,1,0,1,7,0
1687,4,-.8493101,.73816484,.093091801,1,0,1,7,0
1527,4,-2.1507821,2.1735885,.35314009,1,0,1,7,0
3025,4,-3.1911826,3.2844634,.47761792,1,0,1,7,0
2569,4,-1.7792684,1.1241031,.2869848,1,0,1,7,0
55,4,-2.8044167,3.4373841,.347532,1,0,1,7,0
9175,4,-2.0452366,1.0953979,.35043833,1,0,1,7,0
9450,4,-2.5636847,2.123702,.42689678,1,0,1,7,0
31,4,-1.0999447,.88302976,.12217604,1,0,1,7,0
4581,4,-2.1075778,1.5187831,.3371554,1,0,1,7,0
1993,4,-2.0604331,3.0311935,.23713139,1,0,1,7,0
706,4,-.9744547,.24667442,.15132242,1,0,1,7,0
3563,4,-1.056609,1.3166184,.13086474,1,0,1,7,0
2044,4,-1.6658211,1.7428393,.27513638,1,0,1,7,0
9662,4,-2.318573,2.5780582,.33994797,1,0,1,7,0
9001,4,.84210759,-1.0708215,-.13935255,1,0,1,7,0
5840,4,-1.2999365,1.0660448,.11789372,1,0,1,7,0
8607,4,-.88783842,.12718973,.19782388,1,0,1,7,0
5642,4,-1.6545236,1.3842535,.23007661,1,0,1,7,0
3013,4,-.74890953,.768848,.064939439,1,0,1,7,0
5909,4,-2.8760922,3.5409889,.39759508,1,0,1,7,0
7287,4,-2.0317428,2.2053089,.27005479,1,0,1,7,0
3113,4,-.5662685,.020213582,.070599861,1,0,1,7,0
8634,4,-2.1842222,1.5408068,.36599889,1,0,1,7,0
6886,4,-2.1013756,1.9483978,.32359079,1,0,1,7,0
9647,4,-.94677335,.21384287,.13728233,1,0,1,7,0
1185,4,-1.8937986,2.2731395,.29239401,1,0,1,7,0
4091,4,-.71736997,.33684343,.14013121,1,0,1,7,0
2586,4,-2.0332499,1.6475009,.33035517,1,0,1,7,0
2994,4,-1.1715585,1.5831443,.12970644,1,0,1,7,0
3037,4,-.83806533,.016884882,.15427601,1,0,1,7,0
5427,4,-1.640723,1.0017571,.24874429,1,0,1,7,0
4331,4,-2.5126648,2.1672049,.4367623,1,0,1,7,0
8628,4,-3.003237,3.2770202,.43667614,1,0,1,7,0
2002,4,-.97476333,.74253303,.11639768,1,0,1,7,0
1403,4,-.64223486,.96861267,.016357811,1,0,1,7,0
9199,4,.47098717,-.88430643,-.10422505,1,0,1,7,0
7109,4,-1.4060214,1.1780742,.20700827,1,0,1,7,0
7846,4,-1.5334886,1.2061973,.19171472,1,0,1,7,0
4719,4,-1.7665941,2.3300841,.24307211,1,0,1,7,0
7344,4,-1.2636038,.78311312,.20026532,1,0,1,7,0
4889,4,-1.686873,1.8605675,.2347056,1,0,1,7,0
6958,4,-.53857094,.40447533,.044235356,1,0,1,7,0
5665,4,-2.0251732,2.1951177,.31084323,1,0,1,7,0
3531,4,-1.9892431,1.8034197,.30992383,1,0,1,7,0
6685,4,-1.4991908,.63377869,.2612499,1,0,1,7,0
6268,4,-.48386979,.473084,.033813234,1,0,1,7,0
5775,4,-.26003298,.61012602,-.036885023,1,0,1,7,0
3041,4,-1.2051367,1.1335263,.17503494,1,0,1,7,0
3652,4,-2.5296202,2.7054341,.36835539,1,0,1,7,0
7008,4,-.99737597,1.4144017,.061781783,1,0,1,7,0
3303,4,-3.0912418,3.2037399,.47086015,1,0,1,7,0
9949,4,-2.4564354,2.8077023,.37228668,1,0,1,7,0
4503,4,-2.5606587,3.2184825,.37421778,1,0,1,7,0
1724,4,-.76410389,-.27503714,.16225554,1,0,1,7,0
6124,4,-1.2897712,.91031986,.1792158,1,0,1,7,0
981,4,-1.1199902,1.3789449,.13820173,1,0,1,7,0
7894,4,-.67464232,.12325412,.12679641,1,0,1,7,0
9004,4,-.99846357,-.29941308,.21304794,1,0,1,7,0
2993,4,-1.410708,.68668389,.22370996,1,0,1,7,0
8989,4,-1.457973,1.4548923,.21273702,1,0,1,7,0
9806,4,-1.326025,2.1443286,.1150423,1,0,1,7,0
1472,4,-1.4360709,1.403322,.21935751,1,0,1,7,0
5234,4,-1.5127293,1.6042922,.18293099,1,0,1,7,0
8986,4,-2.9551079,3.589915,.43178669,1,0,1,7,0
495,4,-1.8850503,2.2893956,.23201241,1,0,1,7,0
3923,4,-1.5424057,1.6056052,.2443677,1,0,1,7,0
4281,4,-2.135076,1.6614884,.34132451,1,0,1,7,0
4111,4,-1.6204904,1.3638146,.24448189,1,0,1,7,0
6911,4,-.0081876134,-.59243941,-.0051329774,1,0,1,7,0
5680,4,-1.3820345,1.70253,.1066991,1,0,1,7,0
6723,4,-.33842522,-.77754033,.096964732,1,0,1,7,0
8449,4,-1.3755845,1.554877,.17503326,1,0,1,7,0
7087,4,-.025269667,-1.4898227,.048056155,1,0,1,7,0
989,4,-.88942653,.73920655,.092393808,1,0,1,7,0
6487,4,-1.4614394,.75339288,.2515071,1,0,1,7,0
5208,4,-1.3533618,.90494174,.21007507,1,0,1,7,0
9975,4,.27619398,-.44306576,-.086890467,1,0,1,7,0
346,4,-.87882978,1.1973751,.071168274,1,0,1,7,0
5174,4,-.10857652,-1.0757327,.040000878,1,0,1,7,0
1904,4,-1.4205068,.7101959,.26711908,1,0,1,7,0
3096,4,.051914673,-.87033033,-.049018651,1,0,1,7,0
9674,4,-1.5661838,1.2119366,.28902736,1,0,1,7,0
9078,4,-.81555253,1.3312852,.069867246,1,0,1,7,0
3681,4,-1.7982937,1.8357248,.28420255,1,0,1,7,0
9008,4,-2.4263337,1.6477357,.43399853,1,0,1,7,0
3771,4,-.25630325,-.51647323,.060948696,1,0,1,7,0
7880,4,-1.5625057,1.4942242,.23021564,1,0,1,7,0
1764,4,-3.6703944,3.7252052,.56106079,1,0,1,7,0
6562,4,-2.5962079,3.4445276,.37018567,1,0,1,7,0
9743,4,-.23850293,.93362468,-.024228547,1,0,1,7,0
4334,4,-2.046813,2.0206153,.2738398,1,0,1,7,0
9844,4,-2.0516207,2.2043264,.2717829,1,0,1,7,0
5047,4,-1.1441712,1.0386103,.17782871,1,0,1,7,0
165,4,-1.4389153,1.4951859,.21287169,1,0,1,7,0
8502,4,-2.7256372,2.714035,.43268627,1,0,1,7,0
6538,4,-1.7329661,1.6589888,.28449833,1,0,1,7,0
8954,4,-.22490121,.21188374,-.022594471,1,0,1,7,0
1855,4,-1.2723292,.83409005,.21912223,1,0,1,7,0
8096,4,-1.6448948,1.2910188,.25039583,1,0,1,7,0
4951,4,-1.7737106,1.6102263,.27512631,1,0,1,7,0
3057,4,-1.5922997,.8273257,.28639629,1,0,1,7,0
5965,4,-3.44961,3.6828282,.54526794,1,0,1,7,0
8160,4,.59503937,-.74516714,-.15761606,1,0,1,7,0
121,4,-1.4031208,1.3187456,.19064394,1,0,1,7,0
4948,4,-1.1580938,.47790024,.2345634,1,0,1,7,0
5268,4,-1.174772,.80345249,.1786247,1,0,1,7,0
5015,4,-2.9554355,2.4079525,.48187095,1,0,1,7,0
2273,4,-3.1788657,3.1578281,.53499568,1,0,1,7,0
7844,4,-.6978603,.44401687,.057426374,1,0,1,7,0
8970,4,-1.3108412,1.0160724,.19593008,1,0,1,7,0
6823,4,-.18923748,-.15259528,.0083561968,1,0,1,7,0
6206,4,-1.2543522,1.2820876,.18469186,1,0,1,7,0
6424,4,-2.0302629,3.021745,.28364328,1,0,1,7,0
2989,4,-.28982952,.031530693,.058176242,1,0,1,7,0
9593,4,-1.7801231,1.6617347,.21588916,1,0,1,7,0
3230,4,-1.4882314,1.2086551,.21507873,1,0,1,7,0
2775,4,-2.911351,3.0121717,.42308536,1,0,1,7,0
3627,4,-3.3058803,3.8713036,.46607873,1,0,1,7,0
6628,4,-1.2296722,1.0969149,.10653796,1,0,1,7,0
630,4,-.35066572,.43176121,-.025497278,1,0,1,7,0
5404,4,-2.0152669,2.0231264,.29321876,1,0,1,7,0
2813,4,-.72752881,-.16417138,.12102061,1,0,1,7,0
6900,4,-.58551151,-.10939769,.083393715,1,0,1,7,0
2980,4,-2.023484,1.3987577,.32182834,1,0,1,7,0
7843,4,-2.5067627,1.7393478,.44874933,1,0,1,7,0
9044,4,-3.421468,4.217411,.50483733,1,0,1,7,0
7657,4,-1.5946133,1.4704721,.25607523,1,0,1,7,0
5915,4,-2.5012405,2.0601215,.38847435,1,0,1,7,0
124,4,-2.2757654,2.1976049,.31648105,1,0,1,7,0
2137,4,-2.4036191,2.3293307,.30407816,1,0,1,7,0
614,4,-.73095912,.084244438,.12995444,1,0,1,7,0
5758,4,-.13665123,-.66006207,-.0080257505,1,0,1,7,0
9088,4,.16215022,-.61514962,-.061290957,1,0,1,7,0
2499,4,-.86865163,.34189773,.14602274,1,0,1,7,0
4691,4,-.86117715,.79086411,.12205553,1,0,1,7,0
4378,4,-.87952703,.56587511,.15052173,1,0,1,7,0
5629,4,-.17111647,-.49985975,.086583495,1,0,1,7,0
1054,4,-2.3472397,2.500845,.3211543,1,0,1,7,0
632,4,-.51327956,.56292886,.03193704,1,0,1,7,0
26,4,-3.6770775,3.4119256,.59555358,1,0,1,7,0
4525,4,-1.9395328,2.0443599,.32748067,1,0,1,7,0
3195,4,-1.5940268,1.45155,.2090638,1,0,1,7,0
6491,4,-3.249732,3.5790215,.4512409,1,0,1,7,0
3511,4,-1.3779331,1.0395783,.18062432,1,0,1,7,0
955,4,.6539464,-1.3208379,-.091648035,1,0,1,7,0
7997,4,-1.0785985,.73073727,.15929317,1,0,1,7,0
2522,4,-.43260422,.28228641,.032184515,1,0,1,7,0
8744,4,-1.2657549,2.061173,.12955546,1,0,1,7,0
8924,4,-1.1493763,.91457999,.17454003,1,0,1,7,0
6336,4,-.31488132,-1.0850688,.082784168,1,0,1,7,0
9664,4,-2.1619196,1.5743974,.39517105,1,0,1,7,0
8338,4,-2.4910471,2.7434657,.37632003,1,0,1,7,0
7747,4,-2.5049043,2.9052351,.36955652,1,0,1,7,0
2974,4,-1.45822,1.3411539,.16701795,1,0,1,7,0
6242,4,-1.1879007,1.2589749,.14061235,1,0,1,7,0
882,4,-2.5585246,2.8158939,.39351124,1,0,1,7,0
3068,4,-1.2799233,.89807665,.2061566,1,0,1,7,0
3245,4,-.61710775,.084439285,.055774625,1,0,1,7,0
5283,4,-.47772938,1.1455126,-.01493673,1,0,1,7,0
8630,4,.50299209,-1.3819511,-.065388277,1,0,1,7,0
4947,4,-2.1201906,2.2022202,.28267118,1,0,1,7,0
8674,4,-1.3544034,1.2838348,.19998671,1,0,1,7,0
9014,4,-1.6448948,1.2910188,.25039583,1,0,1,7,0
8983,4,-2.1054521,3.2100811,.18687686,1,0,1,7,0
2882,4,.72073352,-.87640691,-.20296252,1,0,1,7,0
1084,4,-2.8691921,3.8487401,.38588139,1,0,1,7,0
4806,4,-1.9599637,2.2335284,.2291767,1,0,1,7,0
8114,4,-1.5334456,1.7507765,.16059858,1,0,1,7,0
3769,4,-.48384675,.94919288,-.017235229,1,0,1,7,0
6326,4,-1.6558623,1.6005349,.25740072,1,0,1,7,0
3550,4,-1.8925846,2.3907478,.26505646,1,0,1,7,0
6987,4,-2.3381984,2.0671816,.35793641,1,0,1,7,0
6766,4,-.37795672,.39266628,-.023274809,1,0,1,7,0
2956,4,-.59976846,.96148074,.030230913,1,0,1,7,0
9703,4,-4.2091355,4.1130543,.67876387,1,0,1,7,0
1405,4,-.24410143,.51226193,-.076931626,1,0,1,7,0
9803,4,-1.7053647,2.6964076,.14435534,1,0,1,7,0
9190,4,-.50285506,-.012068396,.077138737,1,0,1,7,0
7194,4,-1.6896033,1.9173729,.23180197,1,0,1,7,0
534,4,-1.6954508,2.1064878,.18615529,1,0,1,7,0
3341,4,-2.2104788,2.5966716,.28244403,1,0,1,7,0
1380,4,-2.2311313,2.4341865,.31679392,1,0,1,7,0
7159,4,-3.2931321,3.3929281,.50289935,1,0,1,7,0
7151,4,-1.9863293,1.6865078,.31124333,1,0,1,7,0
1933,4,-2.1756842,1.2536275,.39319751,1,0,1,7,0
6180,4,-1.1998317,1.7887598,.1102113,1,0,1,7,0
7664,4,-.18960471,-.15444419,.017504223,1,0,1,7,0
8488,4,-3.0126572,3.3181424,.44060856,1,0,1,7,0
4549,4,-.66709006,.012644065,.10256074,1,0,1,7,0
8597,4,-.4523364,-.87122202,.13595739,1,0,1,7,0
7414,4,.38911617,-.71698761,-.10456342,1,0,1,7,0
4144,4,-2.2206752,3.0038564,.3416613,1,0,1,7,0
5179,4,-2.5417731,1.9740435,.41708434,1,0,1,7,0
5719,4,-1.8458679,1.4151638,.25484473,1,0,1,7,0
5877,4,-4.2120447,4.6002207,.69007421,1,0,1,7,0
737,4,-1.3025997,1.1333066,.18515563,1,0,1,7,0
2424,4,-1.6899551,2.671459,.21377623,1,0,1,7,0
3026,4,-.56299579,.42315948,.063694254,1,0,1,7,0
5358,4,-2.1013756,1.9483978,.32359079,1,0,1,7,0
8756,4,-1.4727287,1.1663547,.25605446,1,0,1,7,0
5966,4,-.74027222,.45749488,.073960043,1,0,1,7,0
3945,4,-3.2061126,3.1724164,.43797824,1,0,1,7,0
3798,4,-1.2258645,.71186507,.19739434,1,0,1,7,0
4426,4,-1.6667378,1.572298,.28083199,1,0,1,7,0
9407,4,.16696751,.089186877,-.11241926,1,0,1,7,0
3076,4,-.25450701,-.30811146,.014445072,1,0,1,7,0
9045,4,-2.1281707,2.5408146,.2744689,1,0,1,7,0
1145,4,-2.1102753,2.2311571,.30586457,1,0,1,7,0
1591,4,-.34343776,-.32241884,.088455051,1,0,1,7,0
8353,4,-.58201349,.11685991,.051699113,1,0,1,7,0
9017,4,.087442175,-.69043398,-.10373349,1,0,1,7,0
4432,4,-.26048413,-.35529763,.0065075057,1,0,1,7,0
1931,4,-1.5685329,1.369032,.26885754,1,0,1,7,0
1912,4,-.91896814,.40544882,.14767888,1,0,1,7,0
9854,4,-.96269494,-.082178995,.18189837,1,0,1,7,0
1976,4,.56484002,-1.6584822,-.12065318,1,0,1,7,0
9998,4,-.85732591,.95366967,.072224364,1,0,1,7,0
9431,4,-1.1185274,1.0988421,.11521689,1,0,1,7,0
6758,4,-.98591459,.61895615,.11998685,1,0,1,7,0
8773,4,-1.4737147,1.5583286,.19478716,1,0,1,7,0
9359,4,-2.6595304,2.6402218,.44170946,1,0,1,7,0
618,4,-2.3021851,1.8632438,.35179219,1,0,1,7,0
2766,4,-1.4815242,1.1525538,.21432437,1,0,1,7,0
2960,4,-.88535547,.52922833,.086319536,1,0,1,7,0
5252,4,-.66929173,.12375162,.12682799,1,0,1,7,0
3144,4,-3.1209459,3.1058276,.52076912,1,0,1,7,0
4876,4,-.3191691,-.76622659,.060132153,1,0,1,7,0
5768,4,-1.2636038,.78311312,.20026532,1,0,1,7,0
3481,4,-.68572968,-.32868144,.19103029,1,0,1,7,0
7190,4,-1.9854702,2.123872,.30099386,1,0,1,7,0
8254,4,-.30217212,-.31466475,.022914678,1,0,1,7,0
2677,4,-1.5009574,1.0733235,.245019,1,0,1,7,0
3870,4,-.83608979,1.1817726,.067202479,1,0,1,7,0
8125,4,-1.2364684,.82467556,.19955763,1,0,1,7,0
9020,4,-.58608907,.36823073,.0068113739,1,0,1,7,0
4812,4,-1.8659537,1.8071088,.34307361,1,0,1,7,0
3015,4,-1.6545236,1.3842535,.23007661,1,0,1,7,0
9726,4,1.2184912,-2.490212,-.17843479,1,0,1,7,0
3554,4,-.68613195,.42513955,.086134389,1,0,1,7,0
1420,4,-1.6658064,1.754724,.21482758,1,0,1,7,0
7720,4,-2.6718574,2.9016123,.38026956,1,0,1,7,0
3507,4,-.38697815,-.13488524,.10324664,1,0,1,7,0
8383,4,-1.8065683,1.9630048,.21188498,1,0,1,7,0
3433,4,-2.4250567,3.4304252,.2737312,1,0,1,7,0
3767,4,-1.0455083,.50720054,.15105726,1,0,1,7,0
8659,4,-1.214792,.36919475,.23442715,1,0,1,7,0
6980,4,-1.9194963,1.5292227,.29799697,1,0,1,7,0
309,4,-2.014509,2.0956993,.30340701,1,0,1,7,0
8313,4,-2.5086422,3.1385927,.3739191,1,0,1,7,0
8875,4,-1.2877308,1.4410206,.16469897,1,0,1,7,0
2073,4,-1.5905763,1.0544116,.28107166,1,0,1,7,0
9828,4,-3.0053236,3.0619557,.48422927,1,0,1,7,0
1701,4,-.1584194,.038870599,-.031872679,1,0,1,7,0
9022,4,-1.712765,2.1056414,.19168827,1,0,1,7,0
8248,4,-.24078317,.20973802,-.0068601742,1,0,1,7,0
1693,4,-.76894873,.44255301,.15465863,1,0,1,7,0
6956,4,-.94630533,1.3652126,.071198545,1,0,1,7,0
5045,4,-2.0420403,2.6158819,.23185283,1,0,1,7,0
2953,4,.25419304,-1.0246394,-.05103315,1,0,1,7,0
5676,4,-.42334262,.033952851,.024019284,1,0,1,7,0
3089,4,.22978219,-.70598447,.020164678,1,0,1,7,0
2403,4,.90492016,-1.6577996,-.14918743,1,0,1,7,0
2034,4,-1.5224773,1.4732543,.19106899,1,0,1,7,0
7425,4,.073323622,-.7643261,-.037217051,1,0,1,7,0
4600,4,-1.7159851,1.494501,.20655027,1,0,1,7,0
4203,4,-2.7390311,2.5460935,.4166289,1,0,1,7,0
3389,4,-1.2611749,.6280368,.22159246,1,0,1,7,0
8460,4,-1.6838717,1.0590866,.31134328,1,0,1,7,0
536,4,-3.1218972,3.4324787,.47786283,1,0,1,7,0
6960,4,-1.596104,1.6478409,.19801483,1,0,1,7,0
6468,4,-.77675349,.35051432,.1046145,1,0,1,7,0
4923,4,-2.3559837,1.9216288,.35911974,1,0,1,7,0
7839,4,-1.102578,1.2243733,.10248145,1,0,1,7,0
2646,4,-.87318999,-.2847605,.12275771,1,0,1,7,0
6260,4,-.95358258,1.0799379,.13608854,1,0,1,7,0
1331,4,-1.7352599,.70770103,.35033262,1,0,1,7,0
4121,4,-1.2635899,1.6456479,.16326936,1,0,1,7,0
6818,4,-1.1555483,1.7915034,.068630591,1,0,1,7,0
563,4,-1.6147923,2.032804,.19439544,1,0,1,7,0
9024,4,-2.2778802,2.8391986,.34985003,1,0,1,7,0
620,4,-1.1585292,.72072905,.1801123,1,0,1,7,0
4088,4,-.52520019,-.1994569,.10325735,1,0,1,7,0
4077,4,-.84300536,1.0805165,.066097677,1,0,1,7,0
2948,4,-3.1128359,3.7380145,.44739819,1,0,1,7,0
3094,4,-2.6185839,3.544678,.33698457,1,0,1,7,0
9438,4,-1.9201117,2.1148088,.2125888,1,0,1,7,0
3294,4,-.66388673,.3197251,.050251517,1,0,1,7,0
3032,4,-.79002529,-.078743309,.11574135,1,0,1,7,0
2947,4,-1.0886484,1.3230369,.10170069,1,0,1,7,0
3115,4,-2.2459788,2.0542066,.33258197,1,0,1,7,0
2888,4,-1.9081355,1.5309759,.28909788,1,0,1,7,0
5766,4,-2.1739511,2.5015855,.30794266,1,0,1,7,0
834,4,-1.687858,.86605084,.26721823,1,0,1,7,0
3255,4,-.60249442,.92840707,.026056044,1,0,1,7,0
6912,4,-1.6762666,1.082684,.28737503,1,0,1,7,0
9456,4,-2.5291502,2.6268246,.34972513,1,0,1,7,0
9010,4,-1.9365503,2.5751102,.25958088,1,0,1,7,0
9277,4,-1.0329527,.98723,.12613294,1,0,1,7,0
2699,4,-1.9364277,1.2278589,.32058433,1,0,1,7,0
7712,4,-2.7667012,3.1250117,.41394791,1,0,1,7,0
628,4,-.47344834,-.24832356,.095928364,1,0,1,7,0
7374,4,.34920943,-.95346069,-.04489534,1,0,1,7,0
5187,4,-1.9349494,1.8015243,.30785629,1,0,1,7,0
4585,4,-1.3547987,1.1918855,.18181971,1,0,1,7,0
3697,4,-1.1673342,.94669086,.19586684,1,0,1,7,0
5323,4,-3.3921928,3.05568,.52035332,1,0,1,7,0
6986,4,-2.0849023,1.8472482,.32301277,1,0,1,7,0
7893,4,-2.3673358,1.8402684,.41271967,1,0,1,7,0
9911,4,-1.1725118,.14183511,.20847212,1,0,1,7,0
2318,4,-1.7103716,2.1372247,.16777979,1,0,1,7,0
592,4,-1.0768909,1.4368848,.1147425,1,0,1,7,0
2047,4,-1.4582865,.88088667,.25511569,1,0,1,7,0
4783,4,-3.7378721,3.8453271,.58660811,1,0,1,7,0
9817,4,-3.4415503,3.5504553,.54284894,1,0,1,7,0
6337,4,-2.1180491,2.2506175,.29191846,1,0,1,7,0
4139,4,-2.9591856,3.1207566,.43256703,1,0,1,7,0
9836,4,-1.1854388,1.6573464,.17387713,1,0,1,7,0
9575,4,-2.7139285,2.2777085,.46398911,1,0,1,7,0
9705,4,-2.3182528,1.5709132,.40977603,1,0,1,7,0
7769,4,-.078208618,-.14610623,-.0073085986,1,0,1,7,0
3629,4,-1.6842837,1.6252161,.30495563,1,0,1,7,0
7027,4,-1.5995907,.95101392,.27594233,1,0,1,7,0
1985,4,-2.2943242,2.6147876,.28913495,1,0,1,7,0
3103,4,-1.4545465,.73484975,.21428214,1,0,1,7,0
310,4,-3.2659972,3.9463415,.46075782,1,0,1,7,0
5057,4,-.027195139,-.38692278,-.022812398,1,0,1,7,0
8417,4,-.94995922,1.0402992,.14230208,1,0,1,7,0
4492,4,-2.6368108,2.8208289,.36480778,1,0,1,7,0
688,4,-.3806282,-.17904571,.063545525,1,0,1,7,0
6513,4,-3.2864778,4.4899578,.43086356,1,0,1,7,0
9026,4,-.49773094,-.041639026,.096549839,1,0,1,7,0
8513,4,-.30142927,.17239965,.017875407,1,0,1,7,0
4185,4,-1.425596,1.5956137,.20884585,1,0,1,7,0
5054,4,-1.5407602,1.8723253,.1778376,1,0,1,7,0
6201,4,-1.3771517,1.5938691,.19418129,1,0,1,7,0
2640,4,-1.0580404,1.1689063,.10174534,1,0,1,7,0
9957,4,-1.037215,-.25614241,.23445377,1,0,1,7,0
6504,4,-1.4117918,1.5829542,.16203049,1,0,1,7,0
242,4,-1.4013044,1.1341587,.18551022,1,0,1,7,0
9257,4,-1.3459319,1.5018915,.1602239,1,0,1,7,0
8075,4,-.60256767,.59269565,.079835266,1,0,1,7,0
4150,4,-1.9119408,1.600922,.2749112,1,0,1,7,0
5451,4,-2.0059984,1.2671727,.32847637,1,0,1,7,0
9123,4,-1.0232912,.86981457,.086709566,1,0,1,7,0
622,4,-.25153965,.15688191,-.0032103802,1,0,1,7,0
3715,4,-.15806805,.022855883,-.012639361,1,0,1,7,0
5677,4,.3689889,-.50753671,-.10525417,1,0,1,7,0
5470,4,-2.46383,2.5959303,.4050031,1,0,1,7,0
6674,4,-1.8962396,2.1071048,.23020248,1,0,1,7,0
9552,4,-2.2733204,2.3554056,.39690495,1,0,1,7,0
5609,4,-.72382009,1.9697311,.037910983,1,0,1,7,0
5986,4,-1.5301242,1.1021997,.21615404,1,0,1,7,0
8971,4,-2.5941665,3.0090063,.34769535,1,0,1,7,0
5678,4,-1.3437389,1.791167,.17308728,1,0,1,7,0
2419,4,-1.1033629,.83381146,.17578331,1,0,1,7,0
5230,4,-1.0410781,-.031304117,.16466017,1,0,1,7,0
7071,4,-2.1249239,2.2749934,.31397042,1,0,1,7,0
9714,4,.37489247,-1.1866734,-.05479167,1,0,1,7,0
8840,4,-3.8077233,4.5846882,.54819822,1,0,1,7,0
2539,4,.36694187,-.30085647,-.13474259,1,0,1,7,0
8519,4,-2.0663342,1.8658741,.31232736,1,0,1,7,0
3148,4,.7260924,-1.6172739,-.10697496,1,0,1,7,0
5534,4,-1.7402383,1.1052381,.32820651,1,0,1,7,0
9029,4,-.40255478,-.1715519,.02368423,1,0,1,7,0
9009,4,-1.6594132,1.9082102,.16279398,1,0,1,7,0
3749,4,-1.2023848,1.0708028,.14254513,1,0,1,7,0
611,4,-2.3564172,2.6710382,.34002513,1,0,1,7,0
8034,4,-1.032788,.83213735,.14505363,1,0,1,7,0
6100,4,-2.1029716,1.7337123,.31506956,1,0,1,7,0
6752,4,-.15546608,-.74995506,.041993719,1,0,1,7,0
2651,4,-1.1975685,.65260655,.18634148,1,0,1,7,0
