run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
5358,4,.14076898,-.37896955,-.066742115,0,0,1,7,0
4462,4,-3.0059133,3.054039,.52594054,0,0,1,7,0
7391,4,-.15652435,-.084081955,-.047914658,0,0,1,7,0
1564,4,-.46550268,-.052409869,-.12925357,0,0,1,7,0
9512,4,-.43015611,-.44656569,.06657593,0,0,1,7,0
5424,4,.57785815,-.81819737,-.11890303,0,0,1,7,0
1643,4,.66755146,-2.8766596,-.056847777,0,0,1,7,0
4673,4,.93961567,-1.8126988,-.065176398,0,0,1,7,0
8716,4,.15656158,-.87405527,-.16996314,0,0,1,7,0
9933,4,-1.3704408,1.2160074,.26968902,0,0,1,7,0
5452,4,3.5449531,-4.9111514,-.83450598,0,0,1,7,0
3330,4,-1.019948,.95582318,.23948935,0,0,1,7,0
8481,4,-.98701167,.89242327,.21326342,0,0,1,7,0
3633,4,-1.1549891,1.0872084,.28844863,0,0,1,7,0
770,4,-1.7085153,1.7963363,.30057907,0,0,1,7,0
701,4,1.2926944,-2.6223125,-.33171067,0,0,1,7,0
6568,4,1.8360467,-3.4264946,-.43693969,0,0,1,7,0
4021,4,.75534427,-1.3541526,-.23207177,0,0,1,7,0
1415,4,1.9773391,-3.8323443,-.59279382,0,0,1,7,0
195,4,.55412447,-1.780825,-.17605639,0,0,1,7,0
6437,4,.42137933,-2.4138706,-.52229548,0,0,1,7,0
2578,4,.97461265,-.90394884,-.28267905,0,0,1,7,0
4495,4,-.14296196,.33051243,.14441597,0,0,1,7,0
695,4,.61168283,-1.6916105,-.15457839,0,0,1,7,0
4181,4,-.38030732,.51787525,.076269411,0,0,1,7,0
4598,4,-.18195459,-1.2833139,-.37966442,0,0,1,7,0
4795,4,.51203531,-1.479244,-.14096162,0,0,1,7,0
8088,4,1.6276013,-2.055495,-.51703936,0,0,1,7,0
9281,4,1.1861919,-1.9995714,-.35739702,0,0,1,7,0
6642,4,.46918473,-1.6274184,.018210331,0,0,1,7,0
1235,4,-.31181145,-.18744633,.035076153,0,0,1,7,0
9586,4,2.7124264,-3.1532807,-.75534004,0,0,1,7,0
3891,4,3.3615057,-4.9114232,-.78566593,0,0,1,7,0
4133,4,1.3359606,-1.791604,-.5107379,0,0,1,7,0
4342,4,-.79888219,.43470854,.15645084,0,0,1,7,0
4202,4,.66618842,-1.7866948,-.24380203,0,0,1,7,0
6528,4,-1.5867461,1.0645622,.38484663,0,0,1,7,0
2532,4,1.2640399,-2.3084657,-.29024804,0,0,1,7,0
9594,4,.12105668,-1.1526949,.015329353,0,0,1,7,0
2201,4,1.9405252,-2.9096131,-.50195885,0,0,1,7,0
841,4,1.8759528,-2.8636663,-.39347017,0,0,1,7,0
9251,4,-.50378317,.78577721,.0054503069,0,0,1,7,0
6491,4,1.7473209,-2.4630525,-.35630551,0,0,1,7,0
8358,4,.034619365,-.61489618,-.070195675,0,0,1,7,0
1132,4,2.7269535,-3.7273579,-.63104063,0,0,1,7,0
3511,4,-1.7335374,2.1262507,.36880842,0,0,1,7,0
1663,4,-1.0419277,.43118873,.25872612,0,0,1,7,0
321,4,.1248555,-.74510777,-.081331663,0,0,1,7,0
825,4,1.43198,-2.2437415,-.39336205,0,0,1,7,0
6375,4,-2.970968,3.4520473,.82427555,0,0,1,7,0
2825,4,.14196128,.12560625,-.12531489,0,0,1,7,0
9,4,.8721028,-2.4825416,-.1541872,0,0,1,7,0
495,4,1.7136201,-2.885288,-.40577543,0,0,1,7,0
8445,4,-1.1251229,1.310172,.18654592,0,0,1,7,0
92,4,1.3568251,-2.2367353,-.37090495,0,0,1,7,0
7358,4,-.57915407,.50810975,.068882801,0,0,1,7,0
113,4,2.5116715,-3.5096755,-.63334799,0,0,1,7,0
6913,4,1.2423488,-.13301918,-.16650331,0,0,1,7,0
1001,4,-1.6547811,.96008956,.38205928,0,0,1,7,0
9879,4,.72836339,-2.0394166,-.2559388,0,0,1,7,0
3324,4,-3.0548418,3.7661335,.60183728,0,0,1,7,0
1112,4,.52181238,-.62493634,-.18085539,0,0,1,7,0
8819,4,-.93525016,.56716973,.32797515,0,0,1,7,0
6706,4,-1.8577702,2.4282193,.38775799,0,0,1,7,0
9615,4,-1.7380295,2.2436054,.35260314,0,0,1,7,0
505,4,.52736813,-1.4558101,-.16396967,0,0,1,7,0
6007,4,3.1582153,-4.372026,-.74731362,0,0,1,7,0
8345,4,-1.640636,2.4534285,.39556602,0,0,1,7,0
3269,4,3.6720464,-4.6000161,-.96857691,0,0,1,7,0
6767,4,-1.8313496,1.7854747,.16762415,0,0,1,7,0
4234,4,-.48084208,-.15906885,.12141377,0,0,1,7,0
874,4,.67995471,-1.5051082,-.14240569,0,0,1,7,0
8048,4,1.1460781,-1.4775496,-.34444886,0,0,1,7,0
9270,4,.62701231,-1.9663728,-.4527781,0,0,1,7,0
6646,4,-1.9241221,1.4392763,.45333335,0,0,1,7,0
8261,4,1.0301369,-2.2089436,-.27032983,0,0,1,7,0
2290,4,1.6310382,-2.5238466,-.40211752,0,0,1,7,0
3041,4,1.610086,-2.487767,-.41880539,0,0,1,7,0
6834,4,-2.1566949,1.677649,.5447492,0,0,1,7,0
2408,4,-.094271943,-.94713527,.0017296342,0,0,1,7,0
7947,4,.77313989,-.94682479,-.18697412,0,0,1,7,0
5096,4,1.4763683,-1.8578452,-.42624709,0,0,1,7,0
8322,4,-1.2696453,1.4349492,.26634943,0,0,1,7,0
8138,4,-2.06318,2.1601722,.40314412,0,0,1,7,0
5005,4,2.8990474,-4.3631148,-.70790011,0,0,1,7,0
8694,4,.17943415,-.047376636,-.18384334,0,0,1,7,0
9867,4,.4096162,-1.5552011,-.11869506,0,0,1,7,0
9178,4,-1.9702584,2.4483829,.39675334,0,0,1,7,0
1735,4,.49463534,-.39922506,-.10396201,0,0,1,7,0
5920,4,-1.1387159,-.18512163,.20501176,0,0,1,7,0
3319,4,3.0342875,-4.6622934,-.74051338,0,0,1,7,0
