run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
6641,4,-.68638712,-1.1847456,1.0933443,1,1,1,7,0
3836,4,-.70570588,-.62504816,.52503246,1,1,1,7,0
7730,4,.014901706,1.6974432,-1.4861128,1,1,1,7,0
3328,4,-.29479727,-.056468096,-.038437665,1,1,1,7,0
7697,4,-1.22374,1.1970732,-1.9154416,1,1,1,7,0
3325,4,-.65747112,-.17396925,.61483526,1,1,1,7,0
2449,4,-.35925892,.19121569,-.040212728,1,1,1,7,0
3912,4,-.74334335,-.12644415,.73502982,1,1,1,7,0
9321,4,-.24699673,.55108643,-.79675865,1,1,1,7,0
3324,4,-.62092769,-.63473594,.90892261,1,1,1,7,0
5323,4,-.71792829,.27805901,-.70729244,1,1,1,7,0
8185,4,-.70357507,.50906897,-.1404043,1,1,1,7,0
198,4,.059380971,.96553212,-1.2219008,1,1,1,7,0
3732,4,-1.0410094,-.6538412,1.2284524,1,1,1,7,0
6311,4,-.59551781,-.23939332,.3559151,1,1,1,7,0
3296,4,-.88248038,-1.0182034,1.2674159,1,1,1,7,0
568,4,-.58477342,-.76291138,1.1425755,1,1,1,7,0
3322,4,.19772586,.49701533,-1.8431245,1,1,1,7,0
9627,4,.23715343,1.3261452,-1.9243864,1,1,1,7,0
2213,4,-.35456109,.22774045,-.47836146,1,1,1,7,0
2603,4,-.87126797,.11807863,.31348345,1,1,1,7,0
9000,4,.03296731,-1.3744498,1.3173342,1,1,1,7,0
7386,4,-.23522691,.026820894,-.37693653,1,1,1,7,0
2577,4,.25128281,.38786098,-.92016828,1,1,1,7,0
1023,4,-.24268901,.097460262,-1.0415747,1,1,1,7,0
842,4,-.4343892,-.98323667,.88973868,1,1,1,7,0
1042,4,-.52024502,-.11450474,.50779331,1,1,1,7,0
295,4,-.71168613,-.87717897,.7520541,1,1,1,7,0
8785,4,-.29318732,.050242264,-.44187808,1,1,1,7,0
4636,4,-.031658974,1.0138609,-1.4025885,1,1,1,7,0
985,4,-.70242238,-.98496342,.95973969,1,1,1,7,0
3182,4,-.67984021,-.34781635,.67140663,1,1,1,7,0
823,4,-.22086464,-.39328137,-.13465834,1,1,1,7,0
7549,4,-.51084262,-.61135781,.48486987,1,1,1,7,0
8730,4,.24074048,.87001997,-1.7754743,1,1,1,7,0
4991,4,.81371236,.05726441,-.30088907,1,1,1,7,0
9517,4,-.93899876,-1.1905693,1.6426003,1,1,1,7,0
3005,4,-.36261246,-.42881975,.44337296,1,1,1,7,0
3938,4,-.76682925,-.9057889,.80971366,1,1,1,7,0
6382,4,-.42053559,.46456182,-.13990834,1,1,1,7,0
8412,4,-.83556139,-1.0632797,1.05948,1,1,1,7,0
3302,4,-.063606188,-.067221142,-.43555009,1,1,1,7,0
546,4,-1.0715678,-.22054945,.13866751,1,1,1,7,0
6153,4,-.6978696,.20391126,.029322404,1,1,1,7,0
5074,4,-.044393051,1.4750917,-1.5872365,1,1,1,7,0
5154,4,-.2679134,-.33510926,.062018268,1,1,1,7,0
5364,4,-.35091618,-.087282822,-.092243493,1,1,1,7,0
3245,4,-.60227197,-.33222315,.35616273,1,1,1,7,0
8277,4,-.14722444,.37957156,-.47509959,1,1,1,7,0
1806,4,-.036064625,.20250188,-.35921964,1,1,1,7,0
1639,4,.29188409,.12557434,-.76010895,1,1,1,7,0
8625,4,.35293913,.88636452,-1.8036751,1,1,1,7,0
1969,4,-.86480039,.16364864,-.19897676,1,1,1,7,0
282,4,-.12509228,1.1752656,-2.0011704,1,1,1,7,0
7609,4,-.35277823,-.32223397,-.30217645,1,1,1,7,0
