run,molecule,intd,s1,s2,risk,endpoint,line,referencetreatment,referencetrial
4580,4,-.35295692,-.48538277,.16699201,0,1,1,7,0
4136,4,-.051201314,.99236923,-1.3729256,0,1,1,7,0
1856,4,-.56992882,-.85564566,1.042215,0,1,1,7,0
3686,4,-.23566416,.27016857,-.477819,0,1,1,7,0
1745,4,-.44642952,-.26020741,.26911095,0,1,1,7,0
237,4,-.40547261,.86004156,-.94601482,0,1,1,7,0
4978,4,-.27673501,.082591012,-.4813779,0,1,1,7,0
4756,4,.08691036,1.3521106,-1.7256451,0,1,1,7,0
7377,4,-.32312438,.29330826,-.57159871,0,1,1,7,0
8932,4,.26045683,.22619571,-.69934076,0,1,1,7,0
2273,4,-.50143486,-.20135643,-.32457528,0,1,1,7,0
9925,4,-.32229424,.067639299,-.067043051,0,1,1,7,0
6884,4,.114166,.42946693,-.80793291,0,1,1,7,0
4335,4,.42376408,1.7760738,-2.5368681,0,1,1,7,0
1469,4,.12273408,1.1697,-1.4225453,0,1,1,7,0
3144,4,-.38026035,.029417058,.44866449,0,1,1,7,0
8032,4,-.43468139,-.052526988,.2577219,0,1,1,7,0
6921,4,.6609059,1.1015558,-2.2455359,0,1,1,7,0
3476,4,-.346497,.29129946,-.4225823,0,1,1,7,0
1104,4,-.76845217,-.47306809,.92901772,0,1,1,7,0
701,4,-.16475227,.15980101,-.50566792,0,1,1,7,0
7153,4,.13697258,.88233232,-1.3726434,0,1,1,7,0
1132,4,-.57267654,.012755956,.42367885,0,1,1,7,0
6883,4,-.15475084,.3914687,-.71208632,0,1,1,7,0
6572,4,.52440596,.025081096,-.32914826,0,1,1,7,0
8035,4,-.14902641,.8941654,-.9814688,0,1,1,7,0
4972,4,-.46956164,.33812752,.014751814,0,1,1,7,0
9566,4,-.53065693,.1156577,-.094061732,0,1,1,7,0
4663,4,-.35486647,.78035593,-.90758175,0,1,1,7,0
124,4,-.51858205,-.45532221,.31913012,0,1,1,7,0
7051,4,-.074676573,.7694515,-.92729723,0,1,1,7,0
9438,4,-.60099024,-.26435652,.21344285,0,1,1,7,0
4165,4,-.16272317,.12911361,-.74431437,0,1,1,7,0
4368,4,-.13594186,-.14678782,-.22844054,0,1,1,7,0
6894,4,.11715022,-.10486206,-.55914891,0,1,1,7,0
9025,4,.055170048,.91356629,-1.2712992,0,1,1,7,0
3863,4,-.22476448,-.0060450956,-.0052840803,0,1,1,7,0
7422,4,-.2283126,.83599871,-1.1070781,0,1,1,7,0
4956,4,-.21848653,.73540008,-.76970482,0,1,1,7,0
9969,4,-.24581015,1.0780274,-1.0126294,0,1,1,7,0
5891,4,-.77234727,-1.314716,1.4343526,0,1,1,7,0
6830,4,-.35372907,-.27284488,-.54693717,0,1,1,7,0
684,4,.028861798,.68089879,-1.142303,0,1,1,7,0
6212,4,-.22005169,.63769466,-.47156599,0,1,1,7,0
9144,4,-.33149579,-.2683686,.2993899,0,1,1,7,0
543,4,-.25643232,.23751703,-.51883113,0,1,1,7,0
2479,4,-.4639715,-.21829726,.056479629,0,1,1,7,0
4400,4,-.34348986,-.15190887,-.40983936,0,1,1,7,0
3755,4,-.24096598,-.043637782,-.3978335,0,1,1,7,0
2748,4,.026906466,1.0861262,-1.528054,0,1,1,7,0
238,4,-.87705386,-.8177464,1.0130469,0,1,1,7,0
9226,4,-.4262014,-.96718174,.66195184,0,1,1,7,0
3380,4,-.42167664,-.018752614,-.15504374,0,1,1,7,0
1879,4,.11893083,.35284245,-.13651726,0,1,1,7,0
2071,4,-.22189198,.96672839,-1.3538728,0,1,1,7,0
8792,4,-.74468929,-.35255736,.51386589,0,1,1,7,0
8868,4,-.33920759,.37324369,-.42585146,0,1,1,7,0
7546,4,-.36171225,.054633703,-.25723258,0,1,1,7,0
2887,4,-.43523106,-.042812798,-.09629368,0,1,1,7,0
7822,4,.17750286,.45280036,-1.2008567,0,1,1,7,0
9739,4,-.081807807,.51769239,-.83536553,0,1,1,7,0
6878,4,-.38899523,-.3349596,-.55138373,0,1,1,7,0
3662,4,-.16489138,.84688622,-1.7267913,0,1,1,7,0
8330,4,-.48429865,-.010065777,-.24324968,0,1,1,7,0
4593,4,-.097807363,.31557271,-.68389535,0,1,1,7,0
2860,4,-.52886057,.16763522,-.2817708,0,1,1,7,0
5110,4,-.17279032,.40921354,-.9068293,0,1,1,7,0
8000,4,-.14803134,.57879442,-.65059835,0,1,1,7,0
1466,4,-.48431036,.96847898,-1.7792579,0,1,1,7,0
159,4,-.13802046,.39593711,-.047837771,0,1,1,7,0
2007,4,.074972652,1.6138424,-2.1022933,0,1,1,7,0
5133,4,-.033484604,.52007389,-1.0894548,0,1,1,7,0
555,4,-.2145505,-.11676662,-.20877331,0,1,1,7,0
2776,4,-.23034815,.52560478,-.57974875,0,1,1,7,0
9575,4,-.27174455,1.2074466,-1.3553059,0,1,1,7,0
1862,4,-.43414921,-.22722295,.2966598,0,1,1,7,0
2153,4,-.41444609,.25352556,-.30834216,0,1,1,7,0
248,4,-.5097025,-.050333977,.22142534,0,1,1,7,0
3659,4,-.26243672,.012043728,.23751704,0,1,1,7,0
7473,4,.091963127,1.1273544,-1.707189,0,1,1,7,0
4911,4,-.35537755,-.35531777,.30846784,0,1,1,7,0
5138,4,-.20478801,.41061929,-.45227256,0,1,1,7,0
605,4,-.23920192,.049243703,-.24564676,0,1,1,7,0
8254,4,-.040304698,.48841286,-1.1599431,0,1,1,7,0
870,4,-.57964957,-.32462549,.31432158,0,1,1,7,0
1882,4,.12778738,.63157958,-.70907402,0,1,1,7,0
8046,4,-.082203276,.43483648,-1.0145606,0,1,1,7,0
1213,4,.029777862,1.0358112,-1.3847569,0,1,1,7,0
4463,4,-.59768826,-.77795058,.7878139,0,1,1,7,0
8682,4,-.12630108,-.43463838,-.26634589,0,1,1,7,0
2872,4,-.34864351,.87755978,-1.4382247,0,1,1,7,0
8821,4,-.10299395,.17834312,-.87236518,0,1,1,7,0
4660,4,-.86051816,-1.5412502,1.8709304,0,1,1,7,0
7724,4,-.51116168,.21985964,.016105488,0,1,1,7,0
2784,4,-.15318114,.47266954,-.76043493,0,1,1,7,0
6886,4,-.41981953,.11360646,-.84933621,0,1,1,7,0
5875,4,-.28029701,.18359365,-.25983128,0,1,1,7,0
7478,4,-.78376365,-.5630427,.5712924,0,1,1,7,0
4282,4,-.18413191,.18268245,-.63244236,0,1,1,7,0
4968,4,.11641644,.69445908,-.92218739,0,1,1,7,0
1330,4,-.16740048,.88476974,-1.136308,0,1,1,7,0
